id,question_code,question_text_en,question_text_hi,question_text_ta,skill_id,weight,group_id,prerequisite_qid
60,AQ03_F3_Q004,I usually choose without comparing options.,,,18,1,,
61,AQ03_F3_Q005,I rarely evaluate one option against another.,,,18,1,,
62,AQ03_F4_Q001,I prefer to base my conclusions on information rather than guesses.,,,18,1,,
63,AQ03_F4_Q002,I feel more confident deciding when I have supporting facts.,,,18,1,,
64,AQ03_F4_Q003,I try to check information before accepting a conclusion.,,,18,1,,
65,AQ03_F4_Q004,I often accept conclusions without checking supporting details.,,,18,1,,
66,AQ03_F4_Q005,I am comfortable deciding without much information.,,,18,1,,
67,AQ03_F5_Q001,I try to notice mistakes when reviewing my thinking.,,,18,1,,
68,AQ03_F5_Q002,I check my reasoning to see if something might be wrong.,,,18,1,,
69,AQ03_F5_Q003,I am willing to correct my thinking when I notice a mistake.,,,18,1,,
70,AQ03_F5_Q004,I usually assume my first answer is correct.,,,18,1,,
71,AQ03_F5_Q005,I don??????t often review my thinking for possible mistakes.,,,18,1,,
72,AQ04_F1_Q001,I like combining ideas from different places to form a new understanding.,,,18,1,,
73,AQ04_F1_Q002,I often connect ideas that are usually thought of separately.,,,18,1,,
74,AQ04_F1_Q003,I enjoy finding links between ideas from different topics.,,,18,1,,
75,AQ04_F1_Q004,I usually keep ideas separate rather than mixing them.,,,18,1,,
76,AQ04_F1_Q005,I rarely think about how different ideas might fit together.,,,18,1,,
77,AQ04_F1_Q006,I look for reasons behind claims or statements.,,,18,1,,
78,AQ04_F2_Q001,I like trying different ways to approach a problem.,,,18,1,,
79,AQ04_F2_Q002,I often think about problems in a way that feels different from usual.,,,18,1,,
80,AQ04_F2_Q003,I enjoy experimenting with new approaches when solving problems.,,,18,1,,
81,AQ04_F2_Q004,I prefer to use only familiar methods when dealing with problems.,,,18,1,,
82,AQ04_F2_Q005,I rarely consider alternative ways to handle a problem.,,,18,1,,
83,AQ04_F2_Q006,I look for relationships between different pieces of information.,,,18,1,,
84,AQ04_F3_Q001,I can shift my thinking when I look at an idea from a new angle.,,,18,1,,
85,AQ04_F3_Q002,I find itEasyto adjust how I think about something.,,,18,1,,
86,AQ04_F3_Q003,I can move between different ideas without feeling stuck.,,,18,1,,
87,AQ04_F3_Q004,I find it hard to change how I think once I start.,,,18,1,,
88,AQ04_F3_Q005,I usually stick to one way of thinking about an idea.,,,18,1,,
89,AQ04_F3_Q006,I identify the main issue before trying to solve a problem.,,,18,1,,
90,AQ04_F4_Q001,I like adding more details to an idea once I understand it.,,,18,1,,
91,AQ04_F4_Q002,I enjoy building on an idea to see how far it can go.,,,18,1,,
92,AQ04_F4_Q003,I often think about how an idea could be developed further.,,,18,1,,
93,AQ04_F4_Q004,"Once I understand an idea, I don??????t usually think beyond it.",,,18,1,,
94,AQ04_F4_Q005,I rarely try to expand ideas beyond their basic form.,,,18,1,,
95,AQ04_F5_Q001,I try to apply ideas from one situation to another.,,,18,1,,
96,AQ04_F5_Q002,I enjoy using what I learn in new or different situations.,,,18,1,,
97,AQ04_F5_Q003,I think about how ideas from one area could help in another.,,,18,1,,
98,AQ04_F5_Q004,I usually keep ideas limited to where I learned them.,,,18,1,,
99,AQ04_F5_Q005,I rarely think about using ideas in different situations.,,,18,1,,
100,AQ05_F1_Q001,"When I have a goal, I like to think about the smaller parts needed to reach it.",,,1,1,,
101,AQ05_F1_Q002,I find it helpful to divide a task into steps before starting.,,,1,1,,
102,AQ05_F1_Q003,"I usually think about what needs to be done first, second, and later.",,,1,1,,
103,AQ05_F1_Q004,I prefer to think about a goal as one big task rather than smaller parts.,,,1,1,,
104,AQ05_F1_Q005,I rarely break goals into smaller steps in my mind.,,,1,1,,
105,AQ05_F1_Q006,I examine details before forming a conclusion.,,,1,1,,
106,AQ05_F2_Q001,I like to think about the order in which steps should be done.,,,1,1,,
107,AQ05_F2_Q002,I find it useful to plan which step should come next.,,,1,1,,
108,AQ05_F2_Q003,I try to arrange actions in a logical order before starting.,,,1,1,,
109,AQ05_F2_Q004,I usually think about steps only as they happen.,,,1,1,,
110,AQ05_F2_Q005,I don??????t often plan the order of steps ahead of time.,,,1,1,,
111,AQ05_F2_Q006,I consider alternative explanations when reviewing information.,,,1,1,,
112,AQ05_F3_Q001,I think about possible challenges before starting something.,,,1,1,,
113,AQ05_F3_Q002,I consider what might make a task harder before beginning.,,,1,1,,
114,AQ05_F3_Q003,I try to think ahead about problems that could come up.,,,1,1,,
115,AQ05_F3_Q004,I usually don??????t think about challenges until they happen.,,,1,1,,
116,AQ05_F3_Q005,Possible problems rarely cross my mind before starting a task.,,,1,1,,
117,AQ05_F4_Q001,"If a plan isn??????t working, I think about how to change it.",,,1,1,,
118,AQ05_F4_Q002,I am open to adjusting my plan when new information appears.,,,1,1,,
119,AQ05_F4_Q003,I think about alternative plans if my first idea changes.,,,1,1,,
120,AQ05_F4_Q004,I prefer to stick to my original plan even if things change.,,,1,1,,
121,AQ05_F4_Q005,I find it hard to rethink a plan once I have made one.,,,1,1,,
122,AQ05_F5_Q001,I like to think about how a plan will be completed from start to end.,,,1,1,,
123,AQ05_F5_Q002,I imagine the steps needed to finish something I start.,,,1,1,,
124,AQ05_F5_Q003,I think ahead about what remains to be done as I progress.,,,1,1,,
125,AQ05_F5_Q004,I usually focus only on the starting part of a plan.,,,1,1,,
126,AQ05_F5_Q005,I don??????t often think about how a task will finish.,,,1,1,,
127,AQ06_F1_Q001,I can keep my attention on one task for a while without feeling pulled away.,,,1,1,,
128,AQ06_F1_Q002,I am able to stay focused on what I am doing for a steady period of time.,,,1,1,,
129,AQ06_F1_Q003,My attention usually remains on the task I start.,,,1,1,,
130,AQ06_F1_Q004,My attention often drifts away soon after I begin a task.,,,1,1,,
131,AQ06_F1_Q005,I find it hard to keep my attention on one thing for long.,,,1,1,,
132,AQ06_F1_Q006,I compare different explanations before deciding which makes sense.,,,1,1,,
133,AQ06_F2_Q001,"When distractions appear, I notice them and try to return my focus.",,,1,1,,
134,AQ06_F2_Q002,I can bring my attention back after being distracted.,,,1,1,,
135,AQ06_F2_Q003,I am aware when something pulls my attention away.,,,1,1,,
136,AQ06_F2_Q004,"Once distracted, I usually stay distracted.",,,1,1,,
137,AQ06_F2_Q005,I rarely notice when distractions take my attention away.,,,1,1,,
138,AQ06_F2_Q006,I evaluate the reliability of information sources.,,,1,1,,
139,AQ06_F3_Q001,I feel mentally involved in tasks I am working on.,,,1,1,,
140,AQ06_F3_Q002,My attention feels fully engaged when I am working on something.,,,1,1,,
141,AQ06_F3_Q003,I tend to think deeply about what I am doing while working on a task.,,,1,1,,
142,AQ06_F3_Q004,I often work on tasks without being mentally involved.,,,1,1,,
143,AQ06_F3_Q005,My mind usually stays at the surface level of a task.,,,1,1,,
144,AQ06_F3_Q006,I compare information from multiple sources.,,,1,1,,
145,AQ06_F4_Q001,I am aware when I shift my attention from one task to another.,,,1,1,,
146,AQ06_F4_Q002,I can manage switching my focus without feeling scattered.,,,1,1,,
147,AQ06_F4_Q003,I notice how switching tasks affects my focus.,,,1,1,,
148,AQ06_F4_Q004,My attention jumps between tasks without much control.,,,1,1,,
149,AQ06_F4_Q005,I switch my attention without noticing it happening.,,,1,1,,
150,AQ06_F4_Q006,I review information for accuracy before relying on it.,,,1,1,,
151,AQ06_F5_Q001,I am aware of when my attention is strong or weak.,,,1,1,,
152,AQ06_F5_Q002,I can tell when my focus starts to change.,,,1,1,,
153,AQ06_F5_Q003,I notice when my mind begins to drift.,,,1,1,,
154,AQ06_F5_Q004,I am often unaware of changes in my attention.,,,1,1,,
155,AQ06_F5_Q005,I usually don??????t notice when my focus fades.,,,1,1,,
156,AQ07_F1_Q001,I notice when my emotions change during the day.,,,1,1,,
157,AQ07_F1_Q002,I can tell when a feeling starts to influence me.,,,1,1,,
158,AQ07_F1_Q003,I am aware of how I am feeling in different situations.,,,1,1,,
159,AQ07_F1_Q004,I often realize how I was feeling only after it has passed.,,,1,1,,
160,AQ07_F1_Q005,I rarely notice my emotions while they are happening.,,,1,1,,
161,AQ07_F1_Q006,I understand information better when details connect to a broader idea.,,,1,1,,
162,AQ07_F2_Q001,"When I feel a strong emotion, I pause before reacting.",,,1,1,,
163,AQ07_F2_Q002,I notice emotional urges before I act on them.,,,1,1,,
164,AQ07_F2_Q003,I give myself a moment to think when emotions run high.,,,1,1,,
165,AQ07_F2_Q004,I usually react right away when I feel something strongly.,,,1,1,,
166,AQ07_F2_Q005,My emotions often push me to act without much thought.,,,1,1,,
167,AQ07_F2_Q006,I notice similarities in ideas even when they come from different situations.,,,1,1,,
168,AQ07_F2_Q007,I notice patterns when reviewing information carefully.,,,1,1,,
169,AQ07_F3_Q001,"After feeling upset, I can return to a steady mood over time.",,,1,1,,
170,AQ07_F3_Q002,I am able to move forward after an emotional moment.,,,1,1,,
171,AQ07_F3_Q003,Strong emotions don??????t stay with me for too long.,,,1,1,,
172,AQ07_F3_Q004,I find it hard to regain balance after feeling upset.,,,1,1,,
173,AQ07_F3_Q005,Emotional moments affect me for a long time afterward.,,,1,1,,
174,AQ07_F3_Q006,I consider different solutions before choosing one.,,,1,1,,
175,AQ07_F4_Q001,I can stay emotionally steady when situations feel demanding.,,,1,1,,
176,AQ07_F4_Q002,I notice pressure without feeling overwhelmed right away.,,,1,1,,
177,AQ07_F4_Q003,Stressful moments don??????t immediately take over my emotions.,,,1,1,,
178,AQ07_F4_Q004,I feel emotionally shaken as soon as pressure increases.,,,1,1,,
179,AQ07_F4_Q005,Even small pressures strongly affect how I feel.,,,1,1,,
180,AQ07_F5_Q001,I am aware of how my feelings influence what I do.,,,1,1,,
181,AQ07_F5_Q002,My actions usually reflect how I am feeling at the time.,,,1,1,,
182,AQ07_F5_Q003,I notice when emotions guide my choices.,,,1,1,,
183,AQ07_F5_Q004,I act without noticing how emotions affect me.,,,1,1,,
184,AQ07_F5_Q005,My feelings influence my actions more than I realize.,,,1,1,,
185,AQ08_F1_Q001,"When something doesn??????t go as planned, I accept that setbacks can happen.",,,1,1,,
186,AQ08_F1_Q002,I recognize that challenges are a normal part of learning.,,,1,1,,
187,AQ08_F1_Q003,I can acknowledge a setback without getting stuck on it.,,,1,1,,
188,AQ08_F1_Q004,I find it hard to accept when things don??????t work out.,,,1,1,,
189,AQ08_F1_Q005,I usually struggle to acknowledge setbacks.,,,1,1,,
190,AQ08_F1_Q006,"When learning something new, I focus on understanding the main idea before looking at examples.",,,1,1,,
191,AQ08_F2_Q001,"After a difficulty, I am willing to try again.",,,1,1,,
192,AQ08_F2_Q002,I can restart my effort after facing a challenge.,,,1,1,,
193,AQ08_F2_Q003,I feel able to give another attempt when something is difficult.,,,1,1,,
194,AQ08_F2_Q004,"Once I face difficulty, I usually stop trying.",,,1,1,,
195,AQ08_F2_Q005,I find it hard to start again after a setback.,,,1,1,,
196,AQ08_F2_Q006,"When faced with a problem, I think about the general principle involved.",,,1,1,,
197,AQ08_F3_Q001,I see challenges as situations that can be handled over time.,,,1,1,,
198,AQ08_F3_Q002,I think about what a challenge requires rather than avoiding it.,,,1,1,,
199,AQ08_F3_Q003,I try to understand challenges instead of seeing them as blocks.,,,1,1,,
200,AQ08_F3_Q004,I usually see challenges as barriers I can??????t work around.,,,1,1,,
201,AQ08_F3_Q005,Difficult situations feel unmanageable to me.,,,1,1,,
202,AQ08_F3_Q006,I connect ideas from different sources when sharing my thoughts.,,,1,1,,
203,AQ08_F4_Q001,"When facing difficulty, I think about ways to handle it.",,,1,1,,
204,AQ08_F4_Q002,I consider different ways to deal with challenges.,,,1,1,,
205,AQ08_F4_Q003,I try to use approaches that help me manage difficulty.,,,1,1,,
206,AQ08_F4_Q004,I don??????t usually think about how to handle difficulties.,,,1,1,,
207,AQ08_F4_Q005,I rarely use any approach when facing challenges.,,,1,1,,
208,AQ08_F5_Q001,I continue working even when something feels difficult.,,,1,1,,
209,AQ08_F5_Q002,I stay engaged even when progress is slow.,,,1,1,,
210,AQ08_F5_Q003,I keep going when tasks become challenging.,,,1,1,,
211,AQ08_F5_Q004,I usually stop when something feels too hard.,,,1,1,,
212,AQ08_F5_Q005,I avoid continuing when difficulties appear.,,,1,1,,
213,AQ09_F1_Q001,I usually finish tasks that I start.,,,1,1,,
214,AQ09_F1_Q002,"I like to complete what I begin, even if it takes time.",,,1,1,,
215,AQ09_F1_Q003,"If I start something, I try to bring it to a clear ending.",,,1,1,,
216,AQ09_F1_Q004,I often leave tasks unfinished once I have begun them.,,,1,1,,
217,AQ09_F1_Q005,I usually stop before finishing what I start.,,,1,1,,
218,AQ09_F1_Q006,I can use an idea I learned earlier to understand a different situation.,,,1,1,,
219,AQ09_F2_Q001,I can stick to simple routines I set for myself.,,,1,1,,
220,AQ09_F2_Q002,I like repeating helpful habits regularly.,,,1,1,,
221,AQ09_F2_Q003,I usually do certain tasks in a steady pattern without needing reminders.,,,1,1,,
222,AQ09_F2_Q004,I find it hard to keep routines going for more than a short time.,,,1,1,,
223,AQ09_F2_Q005,I often stop following routines I planned for myself.,,,1,1,,
224,AQ09_F2_Q006,I try different ways to express the same idea.,,,1,1,,
225,AQ09_F3_Q001,"I put in effort regularly, even when progress is slow.",,,1,1,,
226,AQ09_F3_Q002,I can keep trying at a steady level across many days.,,,1,1,,
227,AQ09_F3_Q003,I tend to give similar effort each time I work on something.,,,1,1,,
228,AQ09_F3_Q004,My effort changes a lot from day to day.,,,1,1,,
229,AQ09_F3_Q005,I often work hard one day and then not try much the next day.,,,1,1,,
230,AQ09_F3_Q006,I apply known methods to address real situations.,,,1,1,,
231,AQ09_F4_Q001,I can wait for a better result instead of choosing anEasyoption right away.,,,1,1,,
232,AQ09_F4_Q002,I am okay with doing something now even if the reward comes later.,,,1,1,,
233,AQ09_F4_Q003,I can stick with a task even when there is no quick reward.,,,1,1,,
234,AQ09_F4_Q004,"I prefer quick results, even if they are smaller.",,,1,1,,
235,AQ09_F4_Q005,It is hard for me to wait for outcomes that take time.,,,1,1,,
236,AQ09_F5_Q001,I check my own progress without needing someone else to ask me.,,,1,1,,
237,AQ09_F5_Q002,I notice when I have not followed what I planned for myself.,,,1,1,,
238,AQ09_F5_Q003,I remind myself of my own commitments.,,,1,1,,
239,AQ09_F5_Q004,I usually rely on others to tell me if I am on track.,,,1,1,,
240,AQ09_F5_Q005,I rarely review my own progress unless someone reminds me.,,,1,1,,
241,AQ10_F1_Q001,I am aware of things I usually do well.,,,5,1,,
242,AQ10_F1_Q002,I know which activities suit me best.,,,5,1,,
243,AQ10_F1_Q003,I can identify areas where I tend to perform comfortably.,,,5,1,,
244,AQ10_F1_Q004,I rarely think about what I am good at.,,,5,1,,
245,AQ10_F1_Q005,I find it hard to recognize my own strong points.,,,5,1,,
246,AQ10_F1_Q006,I adjust how I approach tasks when situations change.,,,5,1,,
247,AQ10_F2_Q001,I am aware of areas that are challenging for me.,,,5,1,,
248,AQ10_F2_Q002,I can tell which tasks I usually find difficult.,,,5,1,,
249,AQ10_F2_Q003,I notice when something is harder for me than expected.,,,5,1,,
250,AQ10_F2_Q004,I usually don??????t think about my limitations.,,,5,1,,
251,AQ10_F2_Q005,I avoid noticing areas where I struggle.,,,5,1,,
252,AQ10_F2_Q006,I explore new ways to present information.,,,5,1,,
253,AQ10_F3_Q001,I can see how my actions affect what happens next.,,,5,1,,
254,AQ10_F3_Q002,I notice patterns between what I do and the results I get.,,,5,1,,
255,AQ10_F3_Q003,I think about how my choices influence outcomes.,,,5,1,,
256,AQ10_F3_Q004,I rarely connect my actions with what happens afterward.,,,5,1,,
257,AQ10_F3_Q005,I don??????t often reflect on how my actions affect results.,,,5,1,,
258,AQ10_F4_Q001,I adjust what I do based on what I notice about myself.,,,5,1,,
259,AQ10_F4_Q002,I make small changes when I see something isn??????t working for me.,,,5,1,,
260,AQ10_F4_Q003,I use past experiences to guide what I try next.,,,5,1,,
261,AQ10_F4_Q004,I usually keep doing the same thing even if it doesn??????t suit me.,,,5,1,,
262,AQ10_F4_Q005,I find it hard to change my approach based on reflection.,,,5,1,,
263,AQ10_F5_Q001,I pay attention to my own reactions while working on something.,,,5,1,,
264,AQ10_F5_Q002,I notice signals from myself that tell me how something is going.,,,5,1,,
265,AQ10_F5_Q003,I reflect on my own responses during tasks.,,,5,1,,
266,AQ10_F5_Q004,I usually ignore my own reactions while doing things.,,,5,1,,
267,AQ10_F5_Q005,I don??????t often notice how I respond internally to tasks.,,,5,1,,
268,AQ11_F1_Q001,I am able to express my ideas in a way others can understand.,,,1,1,,
269,AQ11_F1_Q002,I can explain what I mean without confusing others.,,,1,1,,
270,AQ11_F1_Q003,I usually say what I mean clearly.,,,1,1,,
271,AQ11_F1_Q004,People often misunderstand what I am trying to say.,,,1,1,,
272,AQ11_F1_Q005,I struggle to put my ideas into clear words.,,,1,1,,
273,AQ11_F1_Q006,I adjust solutions based on what works in practice.,,,1,1,,
274,AQ11_F2_Q001,I organise my thoughts before sharing them.,,,1,1,,
275,AQ11_F2_Q002,I think about how to arrange my ideas before speaking.,,,1,1,,
276,AQ11_F2_Q003,My ideas usually come out in a clear order.,,,1,1,,
277,AQ11_F2_Q004,I often share ideas without organising them first.,,,1,1,,
278,AQ11_F2_Q005,My thoughts feel scattered when I try to explain something.,,,1,1,,
279,AQ11_F3_Q001,I adjust how I explain things depending on the situation.,,,1,1,,
280,AQ11_F3_Q002,I change my way of speaking based on who I am talking to.,,,1,1,,
281,AQ11_F3_Q003,I think about the situation before sharing my thoughts.,,,1,1,,
282,AQ11_F3_Q004,I explain things the same way in all situations.,,,1,1,,
283,AQ11_F3_Q005,I rarely change how I express myself based on context.,,,1,1,,
284,AQ11_F4_Q001,I focus on understanding what others are saying.,,,1,1,,
285,AQ11_F4_Q002,I listen carefully to grasp the main point.,,,1,1,,
286,AQ11_F4_Q003,I try to understand others before responding.,,,1,1,,
287,AQ11_F4_Q004,I often think about my reply instead of listening fully.,,,1,1,,
288,AQ11_F4_Q005,I miss important points when others are speaking.,,,1,1,,
289,AQ11_F5_Q001,I ask questions when something is not clear to me.,,,1,1,,
290,AQ11_F5_Q002,I seek clarification to avoid misunderstandings.,,,1,1,,
291,AQ11_F5_Q003,I check my understanding when needed.,,,1,1,,
292,AQ11_F5_Q004,I usually stay quiet even when I don??????t fully understand.,,,1,1,,
293,AQ11_F5_Q005,I avoid asking for clarification.,,,1,1,,
294,AQ12_F1_Q001,I contribute my effort when working as part of a group.,,,21,1,,
295,AQ12_F1_Q002,I take part in shared work when tasks are done together.,,,21,1,,
296,AQ12_F1_Q003,I put in my share of effort during group activities.,,,21,1,,
297,AQ12_F1_Q004,I often leave most of the work to others in a group.,,,21,1,,
298,AQ12_F1_Q005,I rarely take an active role when working in a group.,,,21,1,,
299,AQ12_F2_Q001,I am comfortable taking on different roles in a group.,,,21,1,,
300,AQ12_F2_Q002,I can adjust my role when group needs change.,,,21,1,,
301,AQ12_F2_Q003,I am open to doing different tasks within a team.,,,21,1,,
302,AQ12_F2_Q004,I prefer sticking to only one role in group work.,,,21,1,,
303,AQ12_F2_Q005,I find it hard to adjust my role once it is set.,,,21,1,,
304,AQ12_F3_Q001,I keep the group??????s goal in mind while working with others.,,,21,1,,
305,AQ12_F3_Q002,I think about how my actions affect the group??????s outcome.,,,21,1,,
306,AQ12_F3_Q003,I adjust what I do to support the group??????s objective.,,,21,1,,
307,AQ12_F3_Q004,I focus more on my own part than the group??????s goal.,,,21,1,,
308,AQ12_F3_Q005,I don??????t usually think about the group??????s overall aim.,,,21,1,,
309,AQ12_F4_Q001,I interact with others in a way that helps group work continue smoothly.,,,21,1,,
310,AQ12_F4_Q002,I try to keep discussions useful when working with others.,,,21,1,,
311,AQ12_F4_Q003,I respond in ways that support group progress.,,,21,1,,
312,AQ12_F4_Q004,My interactions sometimes slow down group work.,,,21,1,,
313,AQ12_F4_Q005,I often add comments that don??????t help the group move forward.,,,21,1,,
314,AQ12_F5_Q001,I respond when others in the group need support to continue.,,,21,1,,
315,AQ12_F5_Q002,I offer help when it supports group progress.,,,21,1,,
316,AQ12_F5_Q003,I notice when my support can help the group move ahead.,,,21,1,,
317,AQ12_F5_Q004,I usually focus only on my own work during group tasks.,,,21,1,,
318,AQ12_F5_Q005,I rarely respond when others in the group need assistance.,,,21,1,,
319,AQ13_F1_Q001,I notice when someone??????s mood seems different.,,,21,1,,
320,AQ13_F1_Q002,I can tell when someone is feeling uncomfortable.,,,21,1,,
321,AQ13_F1_Q003,I notice changes in how people behave when they feel different.,,,21,1,,
322,AQ13_F1_Q004,I often miss signs of how others are feeling.,,,21,1,,
323,AQ13_F1_Q005,I don??????t usually notice emotional signals from others.,,,21,1,,
324,AQ13_F1_Q006,I organize information to make it easier to understand.,,,21,1,,
325,AQ13_F2_Q001,I try to think about how a situation looks from another person??????s side.,,,21,1,,
326,AQ13_F2_Q002,I consider different viewpoints before forming an opinion.,,,21,1,,
327,AQ13_F2_Q003,I think about why others might see things differently.,,,21,1,,
328,AQ13_F2_Q004,I usually focus only on my own point of view.,,,21,1,,
329,AQ13_F2_Q005,I find it hard to imagine how others might think.,,,21,1,,
330,AQ13_F2_Q006,I evaluate results to improve future problem-solving.,,,21,1,,
331,AQ13_F3_Q001,I notice what kind of behaviour fits a situation.,,,21,1,,
332,AQ13_F3_Q002,I am aware that different situations call for different behaviour.,,,21,1,,
333,AQ13_F3_Q003,I pay attention to how a situation affects interactions.,,,21,1,,
334,AQ13_F3_Q004,I usually don??????t think much about the situation when interacting with others.,,,21,1,,
335,AQ13_F3_Q005,I act the same way regardless of the situation.,,,21,1,,
336,AQ13_F4_Q001,I think about how my actions affect others.,,,21,1,,
337,AQ13_F4_Q002,I notice how my behaviour influences people around me.,,,21,1,,
338,AQ13_F4_Q003,I consider how others might react to what I do.,,,21,1,,
339,AQ13_F4_Q004,I rarely think about how my actions affect others.,,,21,1,,
340,AQ13_F4_Q005,I don??????t usually consider how others feel about my actions.,,,21,1,,
341,AQ13_F5_Q001,I pay attention to feedback from others about my behaviour.,,,21,1,,
342,AQ13_F5_Q002,I notice when others react to something I have done.,,,21,1,,
343,AQ13_F5_Q003,I adjust my behaviour when I receive clear feedback.,,,21,1,,
344,AQ13_F5_Q004,I often ignore feedback from others.,,,21,1,,
345,AQ13_F5_Q005,I don??????t usually change my behaviour based on others?????? reactions.,,,21,1,,
346,AQ14_F1_Q001,I am willing to start a task when no one else has begun.,,,9,1,,
347,AQ14_F1_Q002,I step forward to begin work when a group is unsure how to start.,,,9,1,,
348,AQ14_F1_Q003,I take the first step when something needs to be done.,,,9,1,,
349,AQ14_F1_Q004,I usually wait for others to start before I act.,,,9,1,,
350,AQ14_F1_Q005,I avoid being the first person to begin a task.,,,9,1,,
351,AQ14_F1_Q006,I set clear outcomes before starting tasks.,,,9,1,,
352,AQ14_F2_Q001,I am willing to take responsibility when a task needs someone to do it.,,,9,1,,
353,AQ14_F2_Q002,I accept responsibility when it is needed in a group.,,,9,1,,
