assessment_version,facet_code,aq_code,name_en,name_hi,name_ta,description_en,description_hi,description_ta,status
v1,AQ13_F5,AQ_13,Responsiveness to Social Feedback,,,,,,active
v1,AQ14_F1,AQ_14,Initiative Taking,,,,,,active
v1,AQ14_F2,AQ_14,Responsibility Acceptance,,,,,,active
v1,AQ14_F3,AQ_14,Direction Setting,,,,,,active
v1,AQ14_F4,AQ_14,Decision Readiness,,,,,,active
v1,AQ14_F5,AQ_14,Supportive Leadership,,,,,,active
v1,AQ15_F1,AQ_15,Fairness Awareness,,,,,,active
v1,AQ15_F2,AQ_15,Responsibility for Impact,,,,,,active
v1,AQ15_F3,AQ_15,Integrity in Choices,,,,,,active
v1,AQ15_F4,AQ_15,Ethical Reflection,,,,,,active
v1,AQ15_F5,AQ_15,Accountability Without Blame,,,,,,active
v1,AQ16_F1,AQ_16,Option Evaluation,,,,,,active
v1,AQ16_F2,AQ_16,Consequence Awareness,,,,,,active
v1,AQ16_F3,AQ_16,Evidence Use in Decisions,,,,,,active
v1,AQ16_F4,AQ_16,Uncertainty Handling,,,,,,active
v1,AQ16_F5,AQ_16,Reflective Review of Decisions,,,,,,active
v1,AQ17_F1,AQ_17,Change Acceptance,,,,,,active
v1,AQ17_F2,AQ_17,Behavioural Adjustment,,,,,,active
v1,AQ17_F3,AQ_17,Flexibility of Plans,,,,,,active
v1,AQ17_F4,AQ_17,Openness to New Situations,,,,,,active
v1,AQ17_F5,AQ_17,Recovery from Change Disruption,,,,,,active
v1,AQ18_F1,AQ_18,Pressure Tolerance,,,,,,active
v1,AQ18_F2,AQ_18,Calm Maintenance,,,,,,active
v1,AQ18_F3,AQ_18,Stress Impact Awareness,,,,,,active
v1,AQ18_F4,AQ_18,Coping Response Selection,,,,,,active
v1,AQ18_F5,AQ_18,Task Focus Under Stress,,,,,,active
v1,AQ19_F1,AQ_19,Goal Setting Tendency,,,,,,active
v1,AQ19_F2,AQ_19,Directional Persistence,,,,,,active
v1,AQ19_F3,AQ_19,Purpose Awareness,,,,,,active
v1,AQ19_F4,AQ_19,Self-Driven Effort,,,,,,active
v1,AQ19_F5,AQ_19,Goal Review & Adjustment,,,,,,active
v1,AQ20_F1,AQ_20,Values Identification,,,,,,active
v1,AQ20_F2,AQ_20,Action?Value Consistency,,,,,,active
v1,AQ20_F3,AQ_20,Values-Based Choice Making,,,,,,active
v1,AQ20_F4,AQ_20,Values Reflection,,,,,,active
v1,AQ20_F5,AQ_20,Integrity of Alignment,,,,,,active
v1,AQ21_F1,AQ_21,Risk Identification,,,,,,active
v1,AQ21_F2,AQ_21,Cautious Decision Framing,,,,,,active
v1,AQ21_F3,AQ_21,Balanced Risk?Benefit View,,,,,,active
v1,AQ21_F4,AQ_21,Preventive Thinking,,,,,,active
v1,AQ21_F5,AQ_21,Situational Caution Adjustment,,,,,,active
v1,AQ22_F1,AQ_22,Task Ownership,,,,,,active
v1,AQ22_F2,AQ_22,Commitment Follow-Through,,,,,,active
v1,AQ22_F3,AQ_22,Outcome Accountability,,,,,,active
v1,AQ22_F4,AQ_22,Reliability Perception,,,,,,active
v1,AQ22_F5,AQ_22,Boundary-Aware Ownership,,,,,,active
v1,AQ23_F1,AQ_23,Autonomous Task Handling,,,,,,active
v1,AQ23_F2,AQ_23,Self-Initiated Problem Solving,,,,,,active
v1,AQ23_F3,AQ_23,Judgement Confidence,,,,,,active
v1,AQ23_F4,AQ_23,Help-Seeking Discernment,,,,,,active
v1,AQ23_F5,AQ_23,Responsibility for Own Work,,,,,,active
v1,AQ24_F1,AQ_24,Long-Term Commitment,,,,,,active
v1,AQ24_F2,AQ_24,Sustained Motivation,,,,,,active
v1,AQ24_F3,AQ_24,Effort Endurance,,,,,,active
v1,AQ24_F4,AQ_24,Delayed Reward Tolerance,,,,,,active
v1,AQ24_F5,AQ_24,Adaptive Persistence,,,,,,active
v1,AQ25_F1,AQ_25,Self-Exploration Interest,,,,,,active
v1,AQ25_F2,AQ_25,Future Possibility Openness,,,,,,active
v1,AQ25_F3,AQ_25,Information-Seeking About Paths,,,,,,active
v1,AQ25_F4,AQ_25,Experimentation Willingness,,,,,,active
v1,AQ25_F5,AQ_25,Comfort With Open-Ended Futures,,,,,,active
